Referencia,codigo_banco,nombre_banco,codigo_sucursal,direccion_sucursal,region_sucursal,nombre_gerente,rut_empleado,nombre_empleado,correo_empleado,edad_empleado,acceso_empleado,rut_vigilante,nombre_vigilante,correo_vigilante,edad_vigilante,acceso_vigilante,fecha_contrato,hora_registro,fecha_registro,tipo_registro,observacion_registro,hora_reporte,fecha_reporte,incidente_reporte,descripcion_reporte
11,E7L6Z3WT,Soluciones Financieras Avance,L9S2VGT4,"Calle Justicia 482, Peñalolén",Región de Antofagasta,Sophia Harris,11.345.678-9,Joaquín Figueroa,joaquin.figueroa@empresa.cl,53,TRUE,15.678.901-2,Enrique Muñoz,enrique.munoz@empresa.cl,31,TRUE,11/08/2018,10:00,16/08/2023,Salida,,10:10,06/11/2020,Ataque de denegación de servicio (DDoS),"El sitio web del banco deja de responder debido a un alto volumen de tráfico malicioso, impidiendo el acceso a los servicios en línea."
12,8A4BCHP0,Riqueza Visionaria,Y1M7KZW5,"Pasaje Respeto 25, La Reina",Región de Tarapacá,Benjamin Clark,22.456.789-0,Alejandra Rojas,alejandra.rojas@empresa.cl,44,FALSE,26.789.012-3,Soledad Ramírez,soledad.ramirez@empresa.cl,43,FALSE,19/01/2023,11:00,06/04/2021,Entrada,,19:31,25/01/2023,Insider Threats,Se identifica a un empleado del banco que ha accedido indebidamente a sistemas o información confidencial para propósitos no autorizados.
13,MJ2VDQRX,Banco Éxito,C8X6RJQ2,"Avenida Crecimiento 1597, Macul",Región Arica y Parinacota,Isabella Lewis,33.567.890-1,Diego Araya,diego.araya@empresa.cl,30,TRUE,37.890.123-4,Diego Espinoza,diego.espinoza@empresa.cl,39,TRUE,27/06/2020,12:00,12/09/2022,Salida,Fraude de transferencia bancaria: Se detecta una transferencia no autorizada desde una cuenta bancaria a otra entidad externa.,7:07,12/03/2022,Error humano,"Un empleado del banco comete un error al procesar una transacción, resultando en una transferencia incorrecta de fondos o un error contable."
14,F6TS9LNZ,Finanzas Oportunidad,T0D3BNP7,"Calle Innovación 738, Estación Central",Región de Los Ríos,James Hill,44.678.901-2,Constanza Vergara,constanza.vergara@empresa.cl,58,FALSE,48.901.234-5,Catalina Torres,catalina.torres@empresa.cl,25,FALSE,06/11/2021,13:00,05/11/2020,Salida,Robo de cajero automático: Se reporta un intento de robo de efectivo en un cajero automático utilizando herramientas de manipulación.,15:45,09/07/2021,Fraude de seguros,Se descubre que un cliente ha presentado reclamaciones de seguros falsas o exageradas para obtener beneficios financieros injustificados.
15,1KGPY7U3,Crédito Fortaleza,W4F5VLZ6,"Pasaje Armonía 63, Cerrillos",Región de Aysén del General Carlos Ibáñez del Campo,Mia Walker,55.789.012-3,Ignacio Soto,ignacio.soto@empresa.cl,41,TRUE,59.012.345-6,Martín Sepúlveda,martin.sepulveda@empresa.cl,36,TRUE,14/04/2019,14:00,01/12/2022,Entrada,Manipulación de datos contables: Se identifica una alteración intencional en los registros financieros para ocultar transacciones fraudulentas.,0:24,18/02/2023,Fraude de cheques,Se reciben cheques falsificados o robados que intentan retirar fondos de cuentas bancarias sin autorización.
16,5RHJ8MXQ,Inversiones Crecimiento,E2J9YMS1,"Avenida Paz 2890, Lo Barnechea",Región de Magallanes y la Antártica Chilena,Alexander Allen,66.890.123-4,Antonia Pizarro,antonia.pizarro@empresa.cl,49,FALSE,60.123.456-7,Jimena Flores,jimena.flores@empresa.cl,48,FALSE,22/09/2022,15:00,14/07/2020,Entrada,Phishing masivo: Los clientes reciben correos electrónicos falsos que intentan engañarlos para revelar información personal o financiera.,12:37,07/09/2020,Fraude en línea,"Se identifica actividad sospechosa en las transacciones en línea, como transferencias no autorizadas o intentos de suplantación de identidad."
17,9ZWCNB2T,Soluciones Bancarias Alianza,R8C7TXQ0,"Calle Amor 159, Colina",Región Metropolitana,Charlotte King,77.901.234-5,Maximiliano Muñoz,maximiliano.munoz@empresa.cl,36,TRUE,71.234.567-8,Cristián Valenzuela,cristian.valenzuela@empresa.cl,30,TRUE,01/07/2018,16:00,18/03/2023,Salida,Ataque de ransomware: Los sistemas informáticos del banco se ven comprometidos por software malicioso que cifra datos y exige un rescate.,2:59,23/06/2022,Ataques físicos a empleados o clientes,Un empleado o cliente del banco es víctima de un asalto o acto violento dentro o fuera de las instalaciones del banco.
18,4FLOPV6Y,Riqueza Desarrollo,G1Q4ZNF9,"Pasaje Fuerza 41, Lampa",Región de Valparaíso,Samuel Scott,88.012.345-6,Florencia Castro,florencia.castro@empresa.cl,52,FALSE,82.345.678-9,Macarena Rodríguez,macarena.rodriguez@empresa.cl,44,FALSE,09/12/2023,17:00,09/06/2021,Salida,Interrupción del servicio en línea: El sitio web del banco experimenta una interrupción debido a problemas técnicos o un ataque DDoS.,17:22,01/04/2021,Malware en cajeros automáticos,Se encuentran dispositivos de skimming u otro malware instalado en los cajeros automáticos para robar información de tarjetas bancarias.
19,2EXGS7JK,Banco Ascenso,V6S5DWB2,"Avenida Sueños 4012, Providencia",Región del Biobío,Amelia Green,99.123.456-7,Lucas González,lucas.gonzalez@empresa.cl,40,TRUE,93.456.789-0,Sergio Gómez,sergio.gomez@empresa.cl,37,TRUE,17/05/2020,18:00,23/05/2022,Entrada,Fuga de datos: Información confidencial de los clientes se filtra debido a una brecha de seguridad en los sistemas del banco.,6:51,30/10/2022,Incendio o desastres naturales,"Daños materiales en la sucursal del banco debido a un incendio, inundación, terremoto u otro desastre natural."
20,8QZWMR9D,Finanzas Expansión,N8Y7JPT3,"Calle Amistad 276, Las Condes",Región de La Araucanía,Daniel Baker,10.234.567-8,Javiera Ramírez,javiera.ramirez@empresa.cl,45,FALSE,4.567.890-1,Daniela Salazar,daniela.salazar@empresa.cl,27,FALSE,24/10/2021,19:00,27/02/2020,Salida,Robo de identidad por parte de empleados: Un empleado del banco utiliza información personal de los clientes para abrir cuentas falsas.,20:16,15/12/2020,Problemas de seguridad física,"Se reportan problemas con el sistema de seguridad física del banco, como cámaras de vigilancia o alarmas que no funcionan correctamente."
21,6Y1JNFT0,Crédito Seguridad,B3M2LQC6,"Pasaje Unidad 89, Ñuñoa",Región de Los Lagos,Harper Adams,20.345.678-9,Nicolás Henríquez,nicolas.henriquez@empresa.cl,54,TRUE,15.678.901-2,Felipe Araya,felipe.araya@empresa.cl,42,TRUE,02/03/2019,20:00,20/10/2021,Salida,Fraude de tarjeta de crédito en línea: Se realizan compras fraudulentas en línea utilizando detalles de tarjetas de crédito robadas.,1:33,24/05/2023,Fraude de transferencia bancaria,Se detecta una transferencia no autorizada desde una cuenta bancaria a otra entidad externa.
22,3LXBPC7H,Inversiones Futuro,F9X1RVZ5,"Avenida Honestidad 1738, La Florida",Región de Coquimbo,Lucas Hall,30.456.789-0,Camila Bustos,camila.bustos@empresa.cl,32,FALSE,26.789.012-3,Gabriela Núñez,gabriela.nunez@empresa.cl,34,FALSE,10/08/2022,21:00,10/01/2022,Entrada,"Ataque físico a la sucursal: Se reporta un robo o intento de robo en una sucursal bancaria, poniendo en peligro a empleados y clientes.",13:04,02/08/2021,Ciberataque,Los sistemas informáticos del banco son atacados por hackers que intentan robar información confidencial o causar daños.
23,V9T8GMZQ,Soluciones Financieras Impulso,P0J6TWD8,"Calle Solidaridad 604, Maipú",Región del Maule,Elizabeth Rivera,40.567.890-1,Tomás Vásquez,tomas.vasquez@empresa.cl,47,TRUE,37.890.123-4,Andrés Contreras,andres.contreras@empresa.cl,50,TRUE,18/01/2018,22:00,25/04/2020,Salida,"Fraude de préstamos: Se aprueban préstamos basados en información falsa o documentos fraudulentos, resultando en pérdidas financieras.",23:28,10/01/2023,Manipulación de tasas de interés,Se descubre que las tasas de interés en ciertos productos financieros se han manipulado para beneficiar a ciertos clientes o empleados.
24,RK5J2XWS,Riqueza Perspectiva,Z4S8HYL7,"Pasaje Gratitud 37, Puente Alto",Región de Ñuble,Jackson Mitchell,50.678.901-2,Josefa Morales,josefa.morales@empresa.cl,38,FALSE,48.901.234-5,Isidora Henríquez,isidora.henriquez@empresa.cl,40,FALSE,26/06/2023,23:00,31/08/2023,Entrada,Manipulación de tasas de interés: Se descubre una manipulación de tasas de interés en productos financieros para beneficiar a ciertos clientes.,8:49,28/11/2020,Violación de cumplimiento normativo,El banco es investigado y sancionado por incumplir regulaciones financieras o de privacidad.
25,0EDNFYP1,Banco Excelencia,K7T5DQN1,"Avenida Sabiduría 2915, San Bernardo",Región del Libertador General Bernardo O'Higgins,Avery Carter,60.789.012-3,Alonso Tapia,alonso.tapia@empresa.cl,59,TRUE,59.012.345-6,Juan Pablo Vásquez,juanpablo.vasquez@empresa.cl,33,TRUE,05/11/2020,0:30,13/11/2022,Salida,Falsificación de cheques: Se identifica el uso de cheques falsificados para retirar fondos de cuentas bancarias.,14:15,13/03/2022,Pérdida de dispositivos electrónicos,Un empleado pierde una laptop o dispositivo móvil que contiene información confidencial de los clientes.
26,8BCZLX2M,Finanzas Renacimiento,M2Y9XJZ6,"Calle Vitalidad 481, Quilicura",Región de Atacama,Michael Roberts,70.890.123-4,Francisca Fuentes,francisca.fuentes@empresa.cl,43,FALSE,60.123.456-7,Antonia Bustos,antonia.bustos@empresa.cl,46,FALSE,13/04/2021,1:30,21/09/2020,Entrada,Malversación de fondos: Un empleado desvía fondos de cuentas de clientes o de la institución para beneficio personal.,3:37,04/07/2021,Amenazas de bomba,"La sucursal del banco es evacuada debido a una amenaza de bomba, lo que causa interrupciones en el servicio."
27,GJ7QVT6F,Crédito Respaldo,L5V3BCP0,"Pasaje Aventura 71, Peñalolén",Región de Antofagasta,Abigail Turner,80.901.234-5,Daniel Valenzuela,daniel.valenzuela@empresa.cl,50,TRUE,71.234.567-8,Manuel Tapia,manuel.tapia@empresa.cl,28,TRUE,20/09/2019,2:30,04/06/2023,Entrada,"Error en la cotización de divisas: Se produce un error en el cálculo de tasas de cambio, causando pérdidas financieras.",11:58,22/09/2022,Interrupción del suministro eléctrico,La sucursal del banco experimenta un apagón prolongado debido a problemas en la red eléctrica.
28,5W3RHPYN,Inversiones Prosperidad,H8W7FTQ2,"Avenida Alegría 3269, La Reina",Región de Tarapacá,Logan James,91.012.345-6,Macarena Díaz,macarena.diaz@empresa.cl,34,FALSE,82.345.678-9,Fernanda Morales,fernanda.morales@empresa.cl,38,FALSE,28/02/2022,3:30,29/03/2021,Salida,Ataque de ingeniería social: Un atacante utiliza técnicas de manipulación para obtener acceso no autorizado a áreas restringidas.,19:26,09/04/2020,Sabotaje interno,"Un empleado del banco lleva a cabo acciones maliciosas, como la eliminación de datos o la manipulación de registros."
29,1A4DKXU8,Soluciones Bancarias Progreso,R1J0GZX5,"Calle Optimismo 192, Macul",Región Arica y Parinacota,Grace Phillips,2.123.456-7,Agustín Olivares,agustin.olivares@empresa.cl,56,TRUE,93.456.789-0,Esteban Fuentes,esteban.fuentes@empresa.cl,45,TRUE,07/07/2018,4:30,17/12/2022,Salida,Cierre inesperado de sucursal: Una sucursal bancaria cierra abruptamente debido a problemas financieros o legales.,5:09,06/10/2021,Ataque de phishing dirigido,Los clientes reciben correos electrónicos personalizados que intentan engañarlos para revelar información confidencial.
30,6MYSZ9TL,Riqueza Bienestar,D4M3NYV8,"Pasaje Confianza 53, Estación Central",Región de Los Ríos,Gabriel Torres,12.234.567-8,Trinidad Guerrero,trinidad.guerrero@empresa.cl,60,FALSE,4.567.890-1,Josefina Olivares,josefina.olivares@empresa.cl,29,FALSE,15/12/2023,5:30,02/02/2020,Entrada,"Errores en la emisión de tarjetas: Se emiten tarjetas bancarias con información incorrecta o incompleta, causando confusión a los clientes.",21:40,19/05/2023,Fraude de nómina,Un empleado del banco utiliza información personal de los clientes para solicitar préstamos a su nombre.
31,2FBCP0QR,Banco Grandeza,X6Q5TPW1,"Avenida Oportunidad 1403, Cerrillos",Región de Aysén del General Carlos Ibáñez del Campo,Evelyn Murphy,22.345.678-9,Emilio Arancibia,emilio.arancibia@empresa.cl,37,TRUE,16.789.012-3,Nicolás Guerrero,nicolas.guerrero@empresa.cl,43,TRUE,23/05/2020,6:30,26/05/2021,Salida,Falta de seguridad física en ATM: Se detecta un cajero automático sin suficiente protección contra manipulación o vandalismo.,9:11,31/08/2020,Robo de información confidencial,Se descubre que un cliente ha compartido información confidencial con personas no autorizadas.
32,9XGJE5H7,Finanzas Avance,C9Z7LRJ4,"Calle Perseverancia 718, Lo Barnechea",Región de Magallanes y la Antártica Chilena,Elijah Rodriguez,32.456.789-0,Amparo Carrasco,amparo.carrasco@empresa.cl,41,FALSE,27.890.123-4,Pilar Arancibia,pilar.arancibia@empresa.cl,32,FALSE,31/10/2021,7:30,15/10/2022,Entrada,Pérdida de documentos confidenciales: Documentos que contienen información sensible de clientes se pierden o roban.,17:32,25/12/2021,Transacciones fraudulentas en línea,Se detectan transacciones fraudulentas en línea utilizando tarjetas de crédito robadas o información de cuentas comprometida.
33,VTZ6LW8K,Crédito Estabilidad,Y2F8SDN6,"Pasaje Coraje 29, Colina",Región Metropolitana,Chloe Nelson,42.567.890-1,Santiago Jara,santiago.jara@empresa.cl,48,TRUE,38.901.234-5,Ignacio Carrasco,ignacio.carrasco@empresa.cl,49,TRUE,08/04/2019,8:30,07/09/2020,Entrada,Fuga de información confidencial del empleado: La información personal o financiera de los empleados se divulga debido a una brecha de seguridad.,1:05,07/01/2023,Acceso no autorizado a áreas restringidas,Un empleado o un intruso no autorizado accede a áreas restringidas de la sucursal del banco.
34,4YNDQPMR,Inversiones Triunfo,W5T1BHQ9,"Avenida Trascendencia 2671, Lampa",Región de Valparaíso,David Parker,52.678.901-2,Pilar Leiva,pilar.leiva@empresa.cl,35,FALSE,49.012.345-6,Trinidad Jara,trinidad.jara@empresa.cl,26,FALSE,16/09/2022,9:30,19/07/2023,Salida,"Incumplimiento normativo: El banco viola regulaciones financieras o de privacidad, enfrentando multas o sanciones legales.",15:18,15/06/2020,Uso indebido de datos de clientes,Un empleado del banco utiliza información privilegiada de los clientes para beneficio personal.
35,UB7JX8L2,Soluciones Financieras Sinergia,E8V6JXZ2,"Calle Armonía 385, Las Condes",Región del Biobío,Scarlett Cooper,62.789.012-3,Vicente Gutiérrez,vicente.gutierrez@empresa.cl,53,TRUE,50.123.456-7,Lucas Leiva,lucas.leiva@empresa.cl,41,TRUE,24/02/2018,10:30,11/03/2021,Entrada,Robo de información de tarjetas de débito/crédito en POS: Datos de tarjetas bancarias comprometidos en un punto de venta por malware o skimming.,22:43,03/11/2022,Suplantación de identidad de empleados,Los clientes del banco reciben correos electrónicos falsificados que parecen ser enviados desde el banco.
36,3CGOTZ9F,Riqueza Potencial,G3R9MYF5,"Pasaje Libertad 67, Ñuñoa",Región de La Araucanía,Carter Morgan,72.890.123-4,Gabriela Alarcón,gabriela.alarcon@empresa.cl,30,FALSE,61.234.567-8,Emilia Gutiérrez,emilia.gutierrez@empresa.cl,35,FALSE,02/07/2023,11:30,28/11/2022,Salida,"Fallo del sistema de seguridad física: Se identifica un fallo en los sistemas de vigilancia o alarma del banco, facilitando intrusiones.",10:29,20/02/2021,Espionaje industrial,Se detecta un intento de falsificación de firmas en documentos bancarios.
37,8VQMHPW1,Banco Ascensión,S7K2PTL8,"Avenida Respeto 4518, Providencia",Región de Los Lagos,Victoria Hayes,82.901.234-5,Rodrigo Sanhueza,rodrigo.sanhueza@empresa.cl,46,TRUE,72.345.678-9,Maximiliano Alarcón,maximiliano.alarcon@empresa.cl,28,TRUE,10/12/2020,12:30,09/08/2020,Entrada,Manipulación de registros de clientes: Los registros de clientes son alterados para ocultar actividades sospechosas o privilegiar ciertos clientes.,18:50,12/07/2023,Falsificación de firmas,Se sospecha que un competidor del banco ha obtenido información confidencial de sus clientes.
38,EKS5DN0X,Finanzas Visión,J1X4ZVC0,"Calle Sabiduría 241, Vitacura",Región de Coquimbo,Henry Reed,92.012.345-6,Fernanda Campos,fernanda.campos@empresa.cl,39,FALSE,83.456.789-0,Florencia Sanhueza,florencia.sanhueza@empresa.cl,47,FALSE,18/05/2021,13:30,23/04/2021,Entrada,,6:12,26/10/2020,Manipulación de información de mercado,Se descubre que los registros de transacciones financieras del banco han sido manipulados.
39,6YJAT7ZB,Crédito Solidez,Q5H6DNT3,"Pasaje Esperanza 13, Santiago Centro",Región del Maule,Madison Bennett,3.123.456-7,Martín Céspedes,martin.cespedes@empresa.cl,55,TRUE,94.567.890-1,Benjamín Campos,benjamin.campos@empresa.cl,31,TRUE,26/10/2019,14:30,06/01/2023,Salida,,23:55,04/04/2022,Vandalismo en la propiedad del banco,Los cajeros automáticos de la sucursal del banco son vandalizados durante la noche.
40,2RWFCXQ8,Inversiones Crecimiento Sostenible,U2B8RJW7,"Avenida Fuerza 3074, La Florida",Región de Ñuble,Andrew Ramirez,13.234.567-8,Rafaela Ortiz,rafaela.ortiz@empresa.cl,44,FALSE,5.678.901-2,Valentina Céspedes,valentina.cespedes@empresa.cl,25,FALSE,03/04/2022,15:30,30/06/2022,Salida,,13:21,17/08/2021,Fuga de información confidencial del empleado,Se filtra información confidencial de los empleados del banco en línea.
41,9LHNPVG3,Soluciones Bancarias Innovación,V6M1TZX9,"Calle Compasión 596, Maipú",Región del Libertador General Bernardo O'Higgins,Riley Foster,23.345.678-9,Esteban Castillo,esteban.castillo@empresa.cl,32,TRUE,17.789.012-3,Matías Ortiz,matias.ortiz@empresa.cl,39,TRUE,11/08/2018,16:30,13/10/2020,Entrada,,7:34,09/03/2023,Pérdida de archivos importantes,Un empleado del banco pierde un archivo importante que contiene información confidencial de los clientes.
42,MZ0J1Y6T,Riqueza Patrimonio,Z3R4QCD5,"Pasaje Unidad 103, Puente Alto",Región de Atacama,Joseph Price,33.456.789-0,Lucía Vidal,lucia.vidal@empresa.cl,51,FALSE,28.890.123-4,Renata Castillo,renata.castillo@empresa.cl,36,FALSE,19/01/2023,17:30,01/12/2021,Entrada,,16:02,05/12/2020,Sospecha de lavado de dinero,Se sospecha que ciertas transacciones bancarias están siendo utilizadas para lavar dinero.
43,4DXQSPK7,Banco Logro,N9J7HVS2,"Avenida Humildad 1925, San Bernardo",Región de Antofagasta,Penelope Sullivan,43.567.890-1,Arturo Reyes,arturo.reyes@empresa.cl,38,TRUE,39.901.234-5,Joaquín Vidal,joaquin.vidal@empresa.cl,48,TRUE,27/06/2020,18:30,25/02/2023,Salida,,0:39,11/09/2022,Incumplimiento de políticas internas,Se descubre que un empleado del banco ha violado las políticas internas de la empresa.
44,BFGC5H8N,Finanzas Desarrollo,B6L0YWG8,"Calle Gratitud 784, Quilicura",Región de Tarapacá,Joshua Cook,53.678.901-2,Elisa Molina,elisa.molina@empresa.cl,45,FALSE,40.012.345-6,Alejandra Reyes,alejandra.reyes@empresa.cl,30,FALSE,06/11/2021,19:30,10/05/2022,Salida,,12:56,24/01/2021,Desvío de fondos,Un cliente sospecha que se han desviado fondos de su cuenta bancaria sin su autorización.
45,1RZJ0TWY,Crédito Confianza Plena,F1Q3XTM4,"Pasaje Generosidad 47, Peñalolén",Región Arica y Parinacota,Layla Perry,63.789.012-3,Manuel Gálvez,manuel.galvez@empresa.cl,59,TRUE,51.123.456-7,Cristóbal Molina,cristobal.molina@empresa.cl,44,TRUE,14/04/2019,20:30,03/09/2020,Entrada,,2:23,08/05/2023,Publicidad engañosa,Se reporta que una campaña publicitaria del banco ha sido engañosa o engañosa.
46,8LMPVX9Q,Inversiones Oportunidad Dorada,P5Z6DVR7,"Avenida Resiliencia 2387, La Reina",Región de Los Ríos,John Diaz,73.890.123-4,Montserrat Saavedra,montserrat.saavedra@empresa.cl,34,FALSE,62.234.567-8,Sofía Gálvez,sofia.galvez@empresa.cl,37,FALSE,22/09/2022,21:30,17/08/2021,Salida,,20:44,14/07/2020,Discriminación en la prestación de servicios,Se denuncia que el banco ha discriminado a ciertos clientes en la prestación de servicios financieros.
47,5KSEJZ6D,Soluciones Financieras Alianza Estratégica,X8K9YJC1,"Calle Autenticidad 319, Macul",Región de Aysén del General Carlos Ibáñez del Campo,Olivia Griffin,83.901.234-5,Ricardo Urbina,ricardo.urbina@empresa.cl,49,TRUE,73.345.678-9,Vicente Saavedra,vicente.saavedra@empresa.cl,27,TRUE,01/03/2018,22:30,21/03/2022,Salida,,8:06,27/03/2022,Violación de privacidad del cliente,Se revela que el banco ha violado la privacidad de los clientes al compartir información sin su consentimiento.
48,3NGYAF1B,Riqueza Prosperidad Duradera,T2M6QLD9,"Pasaje Integridad 61, Estación Central",Región de Magallanes y la Antártica Chilena,Dylan Coleman,93.012.345-6,Pamela Farías,pamela.farias@empresa.cl,42,FALSE,84.456.789-0,Francisca Urbina,francisca.urbina@empresa.cl,42,FALSE,09/08/2023,23:30,08/06/2020,Entrada,,1:50,18/11/2021,Incumplimiento de seguridad de datos,Se descubre una brecha de seguridad en la que la información confidencial de los clientes se ha visto comprometida.
49,0TQPX2HR,Banco Liderazgo,W7R5SZN3,"Avenida Inspiración 4693, Cerrillos",Región Metropolitana,Ava Collins,4.123.456-7,Álvaro Silva,alvaro.silva@empresa.cl,57,TRUE,95.567.890-1,Agustín Farías,agustin.farias@empresa.cl,34,TRUE,17/01/2020,0:15,12/01/2021,Entrada,,9:37,01/09/2020,Contabilidad fraudulenta,Se sospecha que los registros contables del banco han sido manipulados para ocultar transacciones sospechosas.
50,7CWZMV9J,Finanzas Evolución,E4V8HJB6,"Calle Serenidad 178, Lo Barnechea",Región de Valparaíso,Mason Ross,14.234.567-8,Emilia Riquelme,emilia.riquelme@empresa.cl,31,FALSE,6.678.901-2,Constanza Silva,constanza.silva@empresa.cl,46,FALSE,25/06/2021,0:45,29/07/2022,Salida,,17:59,29/04/2023,Problemas de integridad de datos,Problemas de integridad de datos que afectan la precisión y confiabilidad de la información financiera del banco.
